trial,side,volume,scheduled_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,response_ts_sec,resp_phase_deg,resp_phase_label,participant_id
1,right,0.15,2025-11-30 17:45:27.129117,2025-11-30 17:45:27.734811,0.605693,hit,1764524727.7348108,251.70979098800157,exhalation,P003
2,right,0.05,2025-11-30 17:45:31.129117,2025-11-30 17:45:31.671988,0.542871,hit,1764524731.671988,144.3616399776056,exhalation,P003
3,left,0.1,2025-11-30 17:45:35.129117,2025-11-30 17:45:35.589734,0.460616,hit,1764524735.5897338,90.0,inhalation,P003
4,right,0.15,2025-11-30 17:45:37.129117,2025-11-30 17:45:37.650135,0.521017,hit,1764524737.650135,36.8110055312236,inhalation,P003
5,right,0.05,2025-11-30 17:45:44.129117,2025-11-30 17:45:44.596864,0.467747,hit,1764524744.596864,56.02167577581753,inhalation,P003
6,right,0.1,2025-11-30 17:45:49.129117,2025-11-30 17:45:49.610091,0.480973,hit,1764524749.610091,67.09615168978735,inhalation,P003
7,left,0.15,2025-11-30 17:45:53.129117,2025-11-30 17:45:53.610501,0.481383,hit,1764524753.610501,352.6184607612041,inhalation,P003
8,right,0.05,2025-11-30 17:46:00.129117,2025-11-30 17:46:00.659558,0.530441,hit,1764524760.6595578,315.1171160521721,inhalation,P003
9,right,0.1,2025-11-30 17:46:07.129117,2025-11-30 17:46:07.758811,0.629694,hit,1764524767.758811,108.90046202841808,exhalation,P003
10,left,0.1,2025-11-30 17:46:12.129117,2025-11-30 17:46:12.676353,0.547236,hit,1764524772.676353,274.5949942449563,inhalation,P003
11,left,0.1,2025-11-30 17:46:16.129117,2025-11-30 17:46:16.731857,0.602739,hit,1764524776.7318568,112.10763640883314,exhalation,P003
12,left,0.15,2025-11-30 17:46:20.129117,2025-11-30 17:46:20.729793,0.600676,hit,1764524780.729793,57.65269899751689,inhalation,P003
13,left,0.15,2025-11-30 17:46:27.129117,2025-11-30 17:46:27.629761,0.500644,hit,1764524787.629761,90.0,inhalation,P003
14,right,0.15,2025-11-30 17:46:32.129117,2025-11-30 17:46:32.552263,0.423145,hit,1764524792.552263,119.30242828777526,exhalation,P003
15,left,0.1,2025-11-30 17:46:39.129117,2025-11-30 17:46:39.545370,0.416252,hit,1764524799.54537,117.3346129096718,exhalation,P003
16,left,0.05,2025-11-30 17:46:44.129117,2025-11-30 17:46:44.619786,0.490668,hit,1764524804.619786,165.92892666618397,exhalation,P003
17,left,0.1,2025-11-30 17:46:46.129117,2025-11-30 17:46:46.744641,0.615523,hit,1764524806.744641,121.20285065295508,exhalation,P003
18,right,0.15,2025-11-30 17:46:51.129117,2025-11-30 17:46:51.608731,0.479613,hit,1764524811.6087308,103.60167297331311,exhalation,P003
19,left,0.1,2025-11-30 17:46:55.129117,2025-11-30 17:46:55.659631,0.530514,hit,1764524815.659631,306.4019500651584,inhalation,P003
20,right,0.1,2025-11-30 17:47:00.129117,2025-11-30 17:47:00.539221,0.410103,hit,1764524820.539221,334.79936404049045,inhalation,P003
21,right,0.1,2025-11-30 17:47:02.129117,2025-11-30 17:47:02.711490,0.582372,hit,1764524822.7114902,324.92977542629853,inhalation,P003
22,right,0.15,2025-11-30 17:47:04.129117,2025-11-30 17:47:04.574291,0.445173,hit,1764524824.574291,257.2190086302156,exhalation,P003
23,left,0.15,2025-11-30 17:47:06.129117,2025-11-30 17:47:06.558117,0.429,hit,1764524826.5581172,186.53360919767184,exhalation,P003
24,right,0.05,2025-11-30 17:47:13.129117,2025-11-30 17:47:13.595596,0.466479,hit,1764524833.595596,192.06647288369695,exhalation,P003
25,left,0.15,2025-11-30 17:47:18.129117,2025-11-30 17:47:18.613164,0.484047,hit,1764524838.613164,158.1484618685147,exhalation,P003
26,left,0.1,2025-11-30 17:47:22.129117,2025-11-30 17:47:22.595133,0.466015,hit,1764524842.5951328,337.7028871697172,inhalation,P003
27,right,0.15,2025-11-30 17:47:24.129117,2025-11-30 17:47:24.606432,0.477314,hit,1764524844.606432,282.5289255831552,inhalation,P003
28,right,0.15,2025-11-30 17:47:26.129117,2025-11-30 17:47:26.555245,0.426127,hit,1764524846.5552452,212.50431307462165,exhalation,P003
29,left,0.05,2025-11-30 17:47:30.129117,2025-11-30 17:47:30.561417,0.4323,hit,1764524850.5614169,141.06531053307205,exhalation,P003
30,right,0.05,2025-11-30 17:47:37.129117,2025-11-30 17:47:37.665773,0.536655,hit,1764524857.6657732,105.4483812512946,exhalation,P003
31,left,0.05,2025-11-30 17:47:44.129117,2025-11-30 17:47:44.657938,0.528821,hit,1764524864.657938,318.696536717826,inhalation,P003
32,right,0.05,2025-11-30 17:47:51.129117,2025-11-30 17:47:51.665802,0.536684,hit,1764524871.665802,270.0,inhalation,P003
33,right,0.05,2025-11-30 17:47:53.129117,2025-11-30 17:47:53.685358,0.55624,hit,1764524873.685358,206.67245350803043,exhalation,P003
34,right,0.15,2025-11-30 17:47:58.129117,2025-11-30 17:47:58.609679,0.480561,hit,1764524878.6096792,214.27647102400127,exhalation,P003
35,right,0.05,2025-11-30 17:48:00.129117,2025-11-30 17:48:00.626813,0.497695,hit,1764524880.626813,154.39207988349904,exhalation,P003
36,right,0.15,2025-11-30 17:48:04.129117,2025-11-30 17:48:04.681715,0.552598,hit,1764524884.681715,48.67912992041301,inhalation,P003
37,left,0.1,2025-11-30 17:48:09.129117,2025-11-30 17:48:09.776452,0.647334,hit,1764524889.776452,132.96082450769066,exhalation,P003
38,left,0.1,2025-11-30 17:48:13.129117,2025-11-30 17:48:13.685045,0.555928,hit,1764524893.685045,6.224749655680853,inhalation,P003
39,right,0.15,2025-11-30 17:48:20.129117,2025-11-30 17:48:20.857849,0.728731,hit,1764524900.8578491,66.7878751663734,inhalation,P003
40,right,0.05,2025-11-30 17:48:27.129117,2025-11-30 17:48:27.761030,0.631912,hit,1764524907.76103,15.871201232068644,inhalation,P003
41,left,0.15,2025-11-30 17:48:31.129117,2025-11-30 17:48:31.828264,0.699146,hit,1764524911.828264,270.0,inhalation,P003
42,left,0.05,2025-11-30 17:48:36.129117,2025-11-30 17:48:36.849601,0.720484,hit,1764524916.849601,198.30336207093228,exhalation,P003
43,left,0.1,2025-11-30 17:48:41.129117,2025-11-30 17:48:41.798648,0.669531,hit,1764524921.798648,260.53298728353684,exhalation,P003
44,left,0.15,2025-11-30 17:48:48.129117,2025-11-30 17:48:48.781747,0.65263,hit,1764524928.7817469,160.23310235622398,exhalation,P003
45,left,0.1,2025-11-30 17:48:50.129117,2025-11-30 17:48:50.770119,0.641002,hit,1764524930.770119,103.0937153175302,exhalation,P003
46,right,0.1,2025-11-30 17:48:55.129117,2025-11-30 17:48:55.741884,0.612766,hit,1764524935.741884,53.10475974494062,inhalation,P003
47,left,0.1,2025-11-30 17:48:57.129117,2025-11-30 17:48:57.762693,0.633575,hit,1764524937.7626932,355.7451762996998,inhalation,P003
48,left,0.05,2025-11-30 17:49:02.129117,2025-11-30 17:49:02.752460,0.623342,hit,1764524942.75246,55.80733385686904,inhalation,P003
49,right,0.1,2025-11-30 17:49:04.129117,2025-11-30 17:49:04.722465,0.593347,hit,1764524944.722465,354.30595137722713,inhalation,P003
50,right,0.1,2025-11-30 17:49:11.129117,2025-11-30 17:49:11.730186,0.601068,hit,1764524951.730186,343.45995871150467,inhalation,P003
