trial,side,volume,scheduled_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,response_ts_sec,resp_phase,resp_phase_label,participant_id
1,right,0.15,2025-11-30 11:41:05.011329,2025-11-30 11:41:05.630868,0.61954,hit,1764502865.630868,-1.0,exhalation,P001
2,right,0.05,2025-11-30 11:41:09.011329,2025-11-30 11:41:09.505422,0.494093,hit,1764502869.505422,-1.0,exhalation,P001
3,left,0.1,2025-11-30 11:41:13.011329,2025-11-30 11:41:13.521630,0.510301,hit,1764502873.52163,-1.0,exhalation,P001
4,right,0.15,2025-11-30 11:41:15.011329,2025-11-30 11:41:15.514774,0.503445,hit,1764502875.514774,1.0,inhalation,P001
5,right,0.05,2025-11-30 11:41:22.011329,2025-11-30 11:41:22.477177,0.465848,hit,1764502882.4771771,-1.0,exhalation,P001
6,right,0.1,2025-11-30 11:41:27.011329,2025-11-30 11:41:27.528742,0.517413,hit,1764502887.5287418,-1.0,exhalation,P001
7,left,0.15,2025-11-30 11:41:31.011329,2025-11-30 11:41:31.436437,0.425108,hit,1764502891.436437,-1.0,exhalation,P001
8,right,0.05,2025-11-30 11:41:38.011329,2025-11-30 11:41:38.627026,0.615697,hit,1764502898.6270258,1.0,inhalation,P001
9,right,0.1,2025-11-30 11:41:45.011329,2025-11-30 11:41:45.550086,0.538758,hit,1764502905.5500858,-1.0,exhalation,P001
10,left,0.1,2025-11-30 11:41:50.011329,2025-11-30 11:41:50.451969,0.44064,hit,1764502910.451969,1.0,inhalation,P001
11,left,0.1,2025-11-30 11:41:54.011329,2025-11-30 11:41:54.491889,0.480561,hit,1764502914.491889,1.0,inhalation,P001
12,left,0.15,2025-11-30 11:41:58.011329,2025-11-30 11:41:58.433470,0.422142,hit,1764502918.43347,1.0,inhalation,P001
13,left,0.15,2025-11-30 11:42:05.011329,2025-11-30 11:42:05.506657,0.495328,hit,1764502925.5066571,-1.0,exhalation,P001
14,right,0.15,2025-11-30 11:42:10.011329,2025-11-30 11:42:10.561870,0.550541,hit,1764502930.56187,-1.0,exhalation,P001
15,left,0.1,2025-11-30 11:42:17.011329,2025-11-30 11:42:17.433449,0.42212,hit,1764502937.433449,-1.0,exhalation,P001
16,left,0.05,2025-11-30 11:42:22.011329,2025-11-30 11:42:22.438696,0.427367,hit,1764502942.438696,1.0,inhalation,P001
17,left,0.1,2025-11-30 11:42:24.011329,2025-11-30 11:42:24.564115,0.552786,hit,1764502944.564115,-1.0,exhalation,P001
18,right,0.15,2025-11-30 11:42:29.011329,2025-11-30 11:42:29.556986,0.545657,hit,1764502949.556986,1.0,inhalation,P001
19,left,0.1,2025-11-30 11:42:33.011329,2025-11-30 11:42:33.509493,0.498164,hit,1764502953.5094929,-1.0,exhalation,P001
20,right,0.1,2025-11-30 11:42:38.011329,2025-11-30 11:42:38.463262,0.451934,hit,1764502958.4632618,-1.0,exhalation,P001
21,right,0.1,2025-11-30 11:42:40.011329,2025-11-30 11:42:40.441934,0.430605,hit,1764502960.441934,1.0,inhalation,P001
22,right,0.15,2025-11-30 11:42:42.011329,2025-11-30 11:42:42.413430,0.402101,hit,1764502962.41343,-1.0,exhalation,P001
23,left,0.15,2025-11-30 11:42:44.011329,2025-11-30 11:42:44.626452,0.615124,hit,1764502964.626452,1.0,inhalation,P001
24,right,0.05,2025-11-30 11:42:51.011329,2025-11-30 11:42:51.434902,0.423574,hit,1764502971.434902,-1.0,exhalation,P001
25,left,0.15,2025-11-30 11:42:56.011329,2025-11-30 11:42:56.589827,0.578498,hit,1764502976.589827,1.0,inhalation,P001
26,left,0.1,2025-11-30 11:43:00.011329,2025-11-30 11:43:00.459786,0.448457,hit,1764502980.459786,1.0,inhalation,P001
27,right,0.15,2025-11-30 11:43:02.011329,2025-11-30 11:43:02.528395,0.517066,hit,1764502982.528395,1.0,inhalation,P001
28,right,0.15,2025-11-30 11:43:04.011329,2025-11-30 11:43:04.467628,0.456299,hit,1764502984.467628,1.0,inhalation,P001
