trial,side,volume,scheduled_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status
1,right,0.150,2025-11-30 17:45:27.129117,2025-11-30 17:45:27.734811,0.605693,hit
2,right,0.050,2025-11-30 17:45:31.129117,2025-11-30 17:45:31.671988,0.542871,hit
3,left,0.100,2025-11-30 17:45:35.129117,2025-11-30 17:45:35.589734,0.460616,hit
4,right,0.150,2025-11-30 17:45:37.129117,2025-11-30 17:45:37.650135,0.521017,hit
5,right,0.050,2025-11-30 17:45:44.129117,2025-11-30 17:45:44.596864,0.467747,hit
6,right,0.100,2025-11-30 17:45:49.129117,2025-11-30 17:45:49.610091,0.480973,hit
7,left,0.150,2025-11-30 17:45:53.129117,2025-11-30 17:45:53.610501,0.481383,hit
8,right,0.050,2025-11-30 17:46:00.129117,2025-11-30 17:46:00.659558,0.530441,hit
9,right,0.100,2025-11-30 17:46:07.129117,2025-11-30 17:46:07.758811,0.629694,hit
10,left,0.100,2025-11-30 17:46:12.129117,2025-11-30 17:46:12.676353,0.547236,hit
11,left,0.100,2025-11-30 17:46:16.129117,2025-11-30 17:46:16.731857,0.602739,hit
12,left,0.150,2025-11-30 17:46:20.129117,2025-11-30 17:46:20.729793,0.600676,hit
13,left,0.150,2025-11-30 17:46:27.129117,2025-11-30 17:46:27.629761,0.500644,hit
14,right,0.150,2025-11-30 17:46:32.129117,2025-11-30 17:46:32.552263,0.423145,hit
15,left,0.100,2025-11-30 17:46:39.129117,2025-11-30 17:46:39.545370,0.416252,hit
16,left,0.050,2025-11-30 17:46:44.129117,2025-11-30 17:46:44.619786,0.490668,hit
17,left,0.100,2025-11-30 17:46:46.129117,2025-11-30 17:46:46.744641,0.615523,hit
18,right,0.150,2025-11-30 17:46:51.129117,2025-11-30 17:46:51.608731,0.479613,hit
19,left,0.100,2025-11-30 17:46:55.129117,2025-11-30 17:46:55.659631,0.530514,hit
20,right,0.100,2025-11-30 17:47:00.129117,2025-11-30 17:47:00.539221,0.410103,hit
21,right,0.100,2025-11-30 17:47:02.129117,2025-11-30 17:47:02.711490,0.582372,hit
22,right,0.150,2025-11-30 17:47:04.129117,2025-11-30 17:47:04.574291,0.445173,hit
23,left,0.150,2025-11-30 17:47:06.129117,2025-11-30 17:47:06.558117,0.429000,hit
24,right,0.050,2025-11-30 17:47:13.129117,2025-11-30 17:47:13.595596,0.466479,hit
25,left,0.150,2025-11-30 17:47:18.129117,2025-11-30 17:47:18.613164,0.484047,hit
26,left,0.100,2025-11-30 17:47:22.129117,2025-11-30 17:47:22.595133,0.466015,hit
27,right,0.150,2025-11-30 17:47:24.129117,2025-11-30 17:47:24.606432,0.477314,hit
28,right,0.150,2025-11-30 17:47:26.129117,2025-11-30 17:47:26.555245,0.426127,hit
29,left,0.050,2025-11-30 17:47:30.129117,2025-11-30 17:47:30.561417,0.432300,hit
30,right,0.050,2025-11-30 17:47:37.129117,2025-11-30 17:47:37.665773,0.536655,hit
31,left,0.050,2025-11-30 17:47:44.129117,2025-11-30 17:47:44.657938,0.528821,hit
32,right,0.050,2025-11-30 17:47:51.129117,2025-11-30 17:47:51.665802,0.536684,hit
33,right,0.050,2025-11-30 17:47:53.129117,2025-11-30 17:47:53.685358,0.556240,hit
34,right,0.150,2025-11-30 17:47:58.129117,2025-11-30 17:47:58.609679,0.480561,hit
35,right,0.050,2025-11-30 17:48:00.129117,2025-11-30 17:48:00.626813,0.497695,hit
36,right,0.150,2025-11-30 17:48:04.129117,2025-11-30 17:48:04.681715,0.552598,hit
