trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status
1,left,2025-12-17 11:37:42.834749,2025-12-17 11:37:42.841361,2025-12-17 11:37:43.909817,1.068456,hit
2,left,2025-12-17 11:37:46.834749,2025-12-17 11:37:46.841176,2025-12-17 11:37:47.415787,0.574611,hit
3,right,2025-12-17 11:37:53.834749,2025-12-17 11:37:53.845086,2025-12-17 11:37:54.344951,0.499865,hit
4,right,2025-12-17 11:37:55.834749,2025-12-17 11:37:55.842002,2025-12-17 11:37:56.404966,0.562964,hit
5,left,2025-12-17 11:38:00.834749,2025-12-17 11:38:00.840106,2025-12-17 11:38:01.308186,0.468080,hit
6,left,2025-12-17 11:38:02.834749,2025-12-17 11:38:02.842832,2025-12-17 11:38:03.329058,0.486226,hit
7,right,2025-12-17 11:38:06.834749,2025-12-17 11:38:06.842464,2025-12-17 11:38:07.296754,0.454289,hit
8,right,2025-12-17 11:38:11.834749,2025-12-17 11:38:11.840551,2025-12-17 11:38:12.391723,0.551173,hit
9,left,2025-12-17 11:38:13.834749,2025-12-17 11:38:13.843272,2025-12-17 11:38:14.446561,0.603289,hit
10,left,2025-12-17 11:38:18.834749,2025-12-17 11:38:18.841376,2025-12-17 11:38:19.333067,0.491691,hit
11,right,2025-12-17 11:38:23.834749,2025-12-17 11:38:23.845272,2025-12-17 11:38:24.278844,0.433572,hit
12,right,2025-12-17 11:38:25.834749,2025-12-17 11:38:25.842183,2025-12-17 11:38:26.317314,0.475131,hit
13,left,2025-12-17 11:38:32.834749,2025-12-17 11:38:32.843013,2025-12-17 11:38:33.371577,0.528563,hit
14,right,2025-12-17 11:38:39.834749,2025-12-17 11:38:39.843816,2025-12-17 11:38:40.306657,0.462841,hit
15,left,2025-12-17 11:38:43.834749,2025-12-17 11:38:43.843453,2025-12-17 11:38:44.334185,0.490732,hit
16,right,2025-12-17 11:38:47.834749,2025-12-17 11:38:47.843090,2025-12-17 11:38:48.343848,0.500757,hit
17,left,2025-12-17 11:38:52.834749,2025-12-17 11:38:52.841195,2025-12-17 11:38:53.429681,0.588487,hit
18,left,2025-12-17 11:38:59.834749,2025-12-17 11:38:59.842002,2025-12-17 11:39:00.366393,0.524391,hit
19,left,2025-12-17 11:39:03.834749,2025-12-17 11:39:03.841639,2025-12-17 11:39:04.350622,0.508983,hit
20,right,2025-12-17 11:39:05.834749,2025-12-17 11:39:05.844360,2025-12-17 11:39:06.490848,0.646488,hit
21,left,2025-12-17 11:39:07.834749,2025-12-17 11:39:07.841276,2025-12-17 11:39:08.454376,0.613100,hit
22,right,2025-12-17 11:39:14.834749,2025-12-17 11:39:14.842102,2025-12-17 11:39:15.344543,0.502442,hit
23,right,2025-12-17 11:39:18.834749,2025-12-17 11:39:18.841739,2025-12-17 11:39:19.312203,0.470464,hit
24,right,2025-12-17 11:39:23.834749,2025-12-17 11:39:23.845634,2025-12-17 11:39:24.296011,0.450377,hit
25,left,2025-12-17 11:39:25.834749,2025-12-17 11:39:25.842546,2025-12-17 11:39:26.428725,0.586179,hit
26,right,2025-12-17 11:39:30.834749,2025-12-17 11:39:30.840650,2025-12-17 11:39:31.300987,0.460336,hit
27,right,2025-12-17 11:39:32.834749,2025-12-17 11:39:32.837566,2025-12-17 11:39:33.255304,0.417737,hit
28,right,2025-12-17 11:39:36.834749,2025-12-17 11:39:36.843013,2025-12-17 11:39:37.269485,0.426472,hit
29,left,2025-12-17 11:39:41.834749,2025-12-17 11:39:41.841095,2025-12-17 11:39:42.327500,0.486405,hit
