trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,scheduled_offset_s,actual_onset_offset_s,response_offset_s
1,none,,2026-01-03 14:38:51.335525,,,false_positive,,,
1,none,,2026-01-03 14:38:52.363391,,,false_positive,,,
1,none,,2026-01-03 14:38:53.052181,,,false_positive,,,
1,none,,2026-01-03 14:38:53.749060,,,false_positive,,,
1,none,,2026-01-03 14:38:54.382050,,,false_positive,,,
1,none,,2026-01-03 14:38:55.637541,,,false_positive,,,
1,none,,2026-01-03 14:38:56.162192,,,false_positive,,,
1,left,2026-01-03 14:38:56.218093,2026-01-03 14:38:56.381440,2026-01-03 14:38:56.652730,0.271290,hit,7.0,7.163346938148607,7.434636499965563
2,left,2026-01-03 14:39:00.218093,2026-01-03 14:39:00.224342,2026-01-03 14:39:00.766213,0.541871,hit,11.0,11.006249432452023,11.548120583000127
3,right,2026-01-03 14:39:07.218093,2026-01-03 14:39:07.225150,2026-01-03 14:39:07.664162,0.439013,hit,18.0,18.007056689006276,18.44606920797378
4,right,2026-01-03 14:39:09.218093,2026-01-03 14:39:09.227871,2026-01-03 14:39:09.713104,0.485234,hit,20.0,20.009777777420823,20.495011291990522
5,left,2026-01-03 14:39:14.218093,2026-01-03 14:39:14.225975,2026-01-03 14:39:14.715902,0.489927,hit,25.0,25.007882085512392,25.49780891695991
6,left,2026-01-03 14:39:16.218093,2026-01-03 14:39:16.222891,2026-01-03 14:39:16.714946,0.492055,hit,27.0,27.004798185254913,27.49685324996244
7,right,2026-01-03 14:39:20.218093,2026-01-03 14:39:20.222528,2026-01-03 14:39:20.677753,0.455225,hit,31.0,31.004435373470187,31.459660041960888
8,right,2026-01-03 14:39:25.218093,2026-01-03 14:39:25.226419,2026-01-03 14:39:25.605247,0.378828,hit,36.0,36.00832653028192,36.387154083000496
9,left,2026-01-03 14:39:27.218093,2026-01-03 14:39:27.229145,2026-01-03 14:39:27.638924,0.409779,hit,38.0,38.01105215353891,38.42083074996481
10,none,,2026-01-03 14:39:27.894466,,,false_positive,,,
10,left,2026-01-03 14:39:32.218093,2026-01-03 14:39:32.221440,2026-01-03 14:39:32.623802,0.402363,hit,43.0,43.00334693811601,43.40570958296303
11,right,2026-01-03 14:39:37.218093,2026-01-03 14:39:37.225331,2026-01-03 14:39:37.795462,0.570131,hit,48.0,48.007238094869535,48.57736954197753
12,right,2026-01-03 14:39:39.218093,2026-01-03 14:39:39.228052,2026-01-03 14:39:39.772927,0.544875,hit,50.0,50.00995918334229,50.554834124981426
13,left,2026-01-03 14:39:46.218093,2026-01-03 14:39:46.223073,2026-01-03 14:39:46.730288,0.507216,hit,57.0,57.00497959117638,57.5121951669571
14,right,2026-01-03 14:39:53.218093,2026-01-03 14:39:53.223880,2026-01-03 14:39:53.749617,0.525737,hit,64.0,64.00578684773063,64.5315242499928
15,left,2026-01-03 14:39:57.218093,2026-01-03 14:39:57.223517,2026-01-03 14:39:57.701020,0.477503,hit,68.0,68.00542403594591,68.48292679199949
16,right,2026-01-03 14:40:01.218093,2026-01-03 14:40:01.228964,2026-01-03 14:40:01.645741,0.416777,hit,72.0,72.01087074767565,72.42764791694935
17,left,2026-01-03 14:40:06.218093,2026-01-03 14:40:06.221258,2026-01-03 14:40:06.299873,0.078615,hit,77.0,77.00316553219454,77.08178020798368
18,none,,2026-01-03 14:40:11.628452,,,false_positive,,,
18,left,2026-01-03 14:40:13.218093,2026-01-03 14:40:13.227871,2026-01-03 14:40:13.683405,0.455534,hit,84.0,84.00977777742082,84.46531204198254
19,left,2026-01-03 14:40:17.218093,2026-01-03 14:40:17.227508,2026-01-03 14:40:17.750010,0.522502,hit,88.0,88.0094149656361,88.53191691695247
20,right,2026-01-03 14:40:19.218093,2026-01-03 14:40:19.224424,2026-01-03 14:40:19.764912,0.540488,hit,90.0,90.00633106543683,90.54681941698072
21,left,2026-01-03 14:40:21.218093,2026-01-03 14:40:21.227145,2026-01-03 14:40:21.767590,0.540445,hit,92.0,92.00905215385137,92.54949720797595
22,right,2026-01-03 14:40:28.218093,2026-01-03 14:40:28.222166,2026-01-03 14:40:28.648649,0.426483,hit,99.0,99.00407256168546,99.43055604194524
23,right,2026-01-03 14:40:32.218093,2026-01-03 14:40:32.221803,2026-01-03 14:40:32.662542,0.440740,hit,103.0,103.00370974990074,103.44444924994605
24,right,2026-01-03 14:40:37.218093,2026-01-03 14:40:37.225694,2026-01-03 14:40:37.654220,0.428527,hit,108.0,108.00760090665426,108.43612745800056
25,left,2026-01-03 14:40:39.218093,2026-01-03 14:40:39.228415,2026-01-03 14:40:39.725770,0.497355,hit,110.0,110.01032199512701,110.50767666695174
26,right,2026-01-03 14:40:44.218093,2026-01-03 14:40:44.228710,2026-01-03 14:40:44.674887,0.446178,hit,115.0,115.01061677967664,115.45679462497355
27,right,2026-01-03 14:40:46.218093,2026-01-03 14:40:46.223863,2026-01-03 14:40:46.886293,0.662430,hit,117.0,117.00576984125655,117.66820012498647
28,right,2026-01-03 14:40:50.218093,2026-01-03 14:40:50.223500,2026-01-03 14:40:50.639365,0.415865,hit,121.0,121.00540702947183,121.42127208295278
29,left,2026-01-03 14:40:55.218093,2026-01-03 14:40:55.227391,2026-01-03 14:40:55.654891,0.427500,hit,126.0,126.00929818523582,126.4367982079857
30,right,2026-01-03 14:41:02.218093,2026-01-03 14:41:02.228198,2026-01-03 14:41:02.698944,0.470745,hit,133.0,133.01010544184828,133.48085083300248
31,left,2026-01-03 14:41:09.218093,2026-01-03 14:41:09.229024,2026-01-03 14:41:09.722683,0.493660,hit,140.0,140.0109308382962,140.50459054199746
32,left,2026-01-03 14:41:13.218093,2026-01-08 08:32:52.608256,2026-01-03 14:41:13.733435,-409898.874820,hit,144.0,410043.3901627048,144.5153423329466
33,right,2026-01-03 14:41:18.218093,2026-01-08 08:32:52.609480,2026-01-03 14:41:18.766497,-409893.842983,hit,149.0,410043.39138719445,149.5484039579751
34,right,2026-01-03 14:41:25.218093,2026-01-08 08:32:52.607167,2026-01-03 14:41:25.662218,-409886.944949,hit,156.0,410043.3890742693,156.4441250829841
35,left,2026-01-03 14:41:30.218093,2026-01-08 08:32:52.608392,2026-01-03 14:41:30.754020,-409881.854371,hit,161.0,410043.39029875916,161.53592762496555
36,left,2026-01-03 14:41:37.218093,2026-01-08 08:32:52.606079,2026-01-03 14:41:37.669853,-409874.936226,hit,168.0,410043.387985834,168.45176016696496
37,left,2026-01-03 14:41:41.218093,2026-01-08 08:32:52.605716,2026-01-03 14:41:41.690874,-409870.914842,hit,172.0,410043.38762302214,172.4727808329626
38,right,2026-01-03 14:41:43.218093,2026-01-08 08:32:52.608437,2026-01-03 14:41:43.725347,-409868.883090,hit,174.0,410043.3903441106,174.50725391699234
39,right,2026-01-03 14:41:47.218093,2026-01-08 08:32:52.608074,2026-01-03 14:41:47.723177,-409864.884897,hit,178.0,410043.38998129877,178.50508424994769
40,left,2026-01-03 14:41:49.218093,2026-01-08 08:32:52.605467,2026-01-03 14:41:49.743742,-409862.861724,hit,180.0,410043.38737358904,180.525649166957
41,left,2026-01-03 14:41:56.218093,2026-01-08 08:32:52.608006,2026-01-03 14:41:56.705868,-409855.902138,hit,187.0,410043.3899132717,187.48777562496252
42,right,2026-01-03 14:41:58.218093,2026-01-08 08:32:52.605398,2026-01-03 14:41:58.756331,-409853.849067,hit,189.0,410043.387305562,189.53823849995388
43,right,2026-01-03 14:42:03.218093,2026-01-08 08:32:52.606147,2026-01-03 14:42:03.708876,-409848.897271,hit,194.0,410043.3880538613,194.49078316695523
44,left,2026-01-03 14:42:05.218093,2026-01-08 08:32:52.608868,2026-01-03 14:42:05.695740,-409846.913128,hit,196.0,410043.3907749495,196.4776467079646
45,right,2026-01-03 14:42:12.218093,2026-01-08 08:32:52.606079,2026-01-03 14:42:12.659278,-409839.946800,hit,203.0,410043.387985834,203.44118558295304
46,left,2026-01-03 14:42:16.218093,2026-01-08 08:32:52.605716,2026-01-03 14:42:16.682732,-409835.922984,hit,207.0,410043.38762302214,207.46463945799042
47,right,2026-01-03 14:42:20.218093,2026-01-08 08:32:52.605353,2026-01-03 14:42:20.637421,-409831.967933,hit,211.0,410043.3872602103,211.419327666983
48,left,2026-01-03 14:42:25.218093,2026-01-08 08:32:52.606578,2026-01-03 14:42:25.708564,-409826.898014,hit,216.0,410043.3884847002,216.4904706669622
49,right,2026-01-03 14:42:30.218093,2026-01-08 08:32:52.606872,2026-01-03 14:42:30.676378,-409821.930494,hit,221.0,410043.3887794847,221.4582851669984
50,right,2026-01-03 14:42:34.218093,2026-01-08 08:32:52.606510,2026-01-03 14:42:34.732226,-409817.874283,hit,225.0,410043.3884166729,225.5141335419612
51,left,2026-01-03 14:42:41.218093,2026-01-08 08:32:52.610002,2026-01-03 14:42:41.708687,-409810.901315,hit,232.0,410043.3919087365,232.4905939999735
52,left,2026-01-03 14:42:43.218093,2026-01-08 08:32:52.606441,2026-01-03 14:42:43.853232,-409808.753209,hit,234.0,410043.3883486458,234.6351395829697
53,left,2026-01-03 14:42:48.218093,2026-01-08 08:32:52.606260,2026-01-03 14:42:48.711323,-409803.894937,hit,239.0,410043.3881672398,239.49323041696334
54,right,2026-01-03 14:42:55.218093,2026-01-08 08:32:52.610206,2026-01-03 14:42:55.775110,-409796.835095,hit,246.0,410043.39211281814,246.55701749998843
55,left,2026-01-03 14:42:59.218093,2026-01-08 08:32:52.609843,2026-01-03 14:42:59.722480,-409792.887363,hit,250.0,410043.3917500063,250.5043870419613
56,right,2026-01-03 14:43:01.218093,2026-01-08 08:32:52.606759,2026-01-03 14:43:01.741861,-409790.864898,hit,252.0,410043.388666106,252.52376770798583
57,left,2026-01-03 14:43:06.218093,2026-01-08 08:32:52.607530,2026-01-03 14:43:06.688242,-409785.919288,hit,257.0,410043.3894370811,257.4701491249725
58,right,2026-01-03 14:43:13.218093,2026-01-08 08:32:52.605671,2026-01-03 14:43:13.749659,-409778.856012,hit,264.0,410043.3875776707,264.53156574995955
59,left,2026-01-03 14:43:20.218093,2026-01-08 08:32:52.609163,2026-01-03 14:43:20.713995,-409771.895167,hit,271.0,410043.3910697343,271.4959024169948
60,left,2026-01-03 14:43:24.218093,2026-01-08 08:32:52.608324,2026-01-03 14:43:24.679422,-409767.928901,hit,275.0,410043.39023073186,275.4613295829622
61,left,2026-01-03 14:43:26.218093,2026-01-08 08:32:52.605240,2026-01-03 14:43:26.739537,-409765.865702,hit,277.0,410043.3871468318,277.5214446669561
62,right,2026-01-03 14:43:28.218093,2026-01-08 08:32:52.607961,2026-01-03 14:43:28.726850,-409763.881111,hit,279.0,410043.38986792025,279.50875704200007
63,right,2026-01-03 14:43:32.218093,2026-01-08 08:32:52.607598,2026-01-03 14:43:32.737277,-409759.870321,hit,283.0,410043.3895051084,283.5191839169711
64,right,2026-01-03 14:43:37.218093,2026-01-08 08:32:52.608369,2026-01-03 14:43:37.748369,-409754.860000,hit,288.0,410043.3902760833,288.53027574997395
65,right,2026-01-03 14:43:39.218093,2026-01-08 08:32:52.605285,2026-01-03 14:43:39.822879,-409752.782406,hit,290.0,410043.38719218323,290.6047858329839
66,left,2026-01-03 14:43:46.218093,2026-01-08 08:32:52.609231,2026-01-03 14:43:46.681884,-409745.927347,hit,297.0,410043.39113776135,297.46379091695417
67,left,2026-01-03 14:43:51.218093,2026-01-08 08:32:52.609525,2026-01-03 14:43:51.736073,-409740.873453,hit,302.0,410043.3914325459,302.5179800419719
68,right,2026-01-03 14:43:58.218093,2026-01-08 08:32:52.607213,2026-01-03 14:43:58.714550,-409733.892662,hit,309.0,410043.3891196207,309.49645737494575
69,right,2026-01-03 14:44:02.218093,2026-01-08 08:32:52.606850,2026-01-03 14:44:02.707915,-409729.898935,hit,313.0,410043.3887568091,313.4898217919981
70,left,2026-01-03 14:44:06.218093,2026-01-08 08:32:52.606487,2026-01-03 14:44:06.741750,-409725.864737,hit,317.0,410043.3883939973,317.52365674998146
71,right,2026-01-03 14:44:11.218093,2026-01-08 08:32:52.607711,2026-01-03 14:44:11.721252,-409720.886459,hit,322.0,410043.3896184869,322.50315912498627
72,left,2026-01-03 14:44:13.218093,2026-01-08 08:32:52.605104,2026-01-03 14:44:13.698667,-409718.906437,hit,324.0,410043.3870107772,324.48057362495456
73,left,2026-01-03 14:44:17.218093,2026-01-08 08:32:52.610070,2026-01-03 14:44:17.725352,-409714.884718,hit,328.0,410043.3919767638,328.50725858297665
74,left,2026-01-03 14:44:22.218093,2026-01-08 08:32:52.605036,2026-01-03 14:44:22.725407,-409709.879628,hit,333.0,410043.38694275013,333.50731445796555
75,right,2026-01-03 14:44:29.218093,2026-01-08 08:32:52.608981,2026-01-03 14:44:29.792574,-409702.816407,hit,340.0,410043.39088832826,340.57448104198556
76,left,2026-01-03 14:44:31.218093,2026-01-08 08:32:52.605421,2026-01-03 14:44:31.825829,-409700.779592,hit,342.0,410043.3873282376,342.6077359999763
77,left,2026-01-03 14:44:38.218093,2026-01-08 08:32:52.608913,2026-01-03 14:44:38.726177,-409693.882736,hit,349.0,410043.3908203012,349.5080842919997
78,right,2026-01-03 14:44:40.218093,2026-01-08 08:32:52.605353,2026-01-03 14:44:40.867404,-409691.737949,hit,351.0,410043.3872602103,351.6493107499555
79,right,2026-01-03 14:44:45.218093,2026-01-08 08:32:52.606124,2026-01-03 14:44:45.870176,-409686.735948,hit,356.0,410043.38803118543,356.6520827499917
80,right,2026-01-03 14:44:49.218093,2026-01-08 08:32:52.605761,2026-01-03 14:44:49.725330,-409682.880431,hit,360.0,410043.3876683736,360.50723749998724
81,right,2026-01-03 14:44:51.218093,2026-01-08 08:32:52.608482,2026-01-03 14:44:51.861323,-409680.747159,hit,362.0,410043.39038946206,362.6432301249588
82,left,2026-01-03 14:44:56.218093,2026-01-08 08:32:52.609707,2026-01-03 14:44:56.695359,-409675.914348,hit,367.0,410043.39161395194,367.4772657499998
83,right,2026-01-03 14:45:01.218093,2026-01-08 08:32:52.605126,2026-01-03 14:45:01.688117,-409670.917009,hit,372.0,410043.38703345304,372.47002395795425
84,left,2026-01-03 14:45:08.218093,2026-01-08 08:32:52.608142,2026-01-03 14:45:08.714311,-409663.893831,hit,379.0,410043.39004932606,379.49621837498853
85,left,2026-01-03 14:45:12.218093,2026-01-08 08:32:52.607780,2026-01-03 14:45:12.687709,-409659.920070,hit,383.0,410043.3896865142,383.46961620799266
86,right,2026-01-03 14:45:16.218093,2026-01-08 08:32:52.607417,2026-01-03 14:45:16.769164,-409655.838252,hit,387.0,410043.3893237024,387.55107137496816
87,left,2026-01-03 14:45:18.218093,2026-01-08 08:32:52.605285,2026-01-03 14:45:18.709022,-409653.896264,hit,389.0,410043.38719218323,389.49092858296353
88,right,2026-01-03 14:45:25.218093,2026-01-08 08:32:52.608301,2026-01-03 14:45:25.733231,-409646.875070,hit,396.0,410043.39020805625,396.5151379579911
