trial,side,utc_timestamp,RT_seconds,resp_status
1,left,2025-12-29 19:48:39.863963+00:00,0.69398,hit
2,left,2025-12-29 19:48:43.857793+00:00,0.648392,hit
3,right,2025-12-29 19:48:50.858606+00:00,0.65539,hit
4,right,2025-12-29 19:48:52.855521+00:00,0.626337,hit
5,left,2025-12-29 19:48:57.859419+00:00,0.675938,hit
6,left,2025-12-29 19:48:59.856334+00:00,0.705161,hit
7,right,2025-12-29 19:49:03.861774+00:00,0.604101,hit
8,right,2025-12-29 19:49:08.865672+00:00,0.767115,hit
9,left,2025-12-29 19:49:10.862587+00:00,0.848181,hit
10,left,2025-12-29 19:49:15.854875+00:00,0.807253,hit
11,right,2025-12-29 19:49:20.858773+00:00,0.771957,hit
12,right,2025-12-29 19:49:22.855688+00:00,0.721276,hit
13,left,2025-12-29 19:49:29.856501+00:00,0.697088,hit
14,right,2025-12-29 19:49:36.857314+00:00,0.736721,hit
15,left,2025-12-29 19:49:40.862754+00:00,0.665451,hit
16,right,2025-12-29 19:49:44.856584+00:00,0.701385,hit
17,left,2025-12-29 19:49:49.860482+00:00,0.811924,hit
18,left,2025-12-29 19:49:56.861295+00:00,0.658664,hit
19,left,2025-12-29 19:50:00.855125+00:00,0.676832,hit
20,right,2025-12-29 19:50:02.863651+00:00,0.659642,hit
21,left,2025-12-29 19:50:04.860566+00:00,0.64362,hit
22,right,2025-12-29 19:50:11.861379+00:00,0.657254,hit
23,right,2025-12-29 19:50:15.855209+00:00,0.681312,hit
24,right,2025-12-29 19:50:20.859107+00:00,0.78231,hit
25,left,2025-12-29 19:50:22.856022+00:00,0.808055,hit
26,right,2025-12-29 19:50:27.859920+00:00,0.84519,hit
27,right,2025-12-29 19:50:29.856835+00:00,0.911675,hit
28,right,2025-12-29 19:50:33.862275+00:00,0.734006,hit
29,left,2025-12-29 19:50:38.854563+00:00,0.717223,hit
30,right,2025-12-29 19:50:45.855376+00:00,0.674639,hit
31,left,2025-12-29 19:50:52.856189+00:00,0.626682,hit
32,left,2025-12-29 19:50:56.861629+00:00,0.591323,hit
33,right,2025-12-29 19:51:01.865527+00:00,0.563951,hit
34,right,2025-12-29 19:51:08.854730+00:00,0.585116,hit
35,left,2025-12-29 19:51:13.858627+00:00,0.688202,hit
36,left,2025-12-29 19:51:20.859440+00:00,0.701677,hit
37,left,2025-12-29 19:51:24.864881+00:00,0.696138,hit
38,right,2025-12-29 19:51:26.861796+00:00,0.731099,hit
39,right,2025-12-29 19:51:30.855626+00:00,0.630532,hit
40,left,2025-12-29 19:51:32.864151+00:00,0.649965,hit
41,left,2025-12-29 19:51:39.858940+00:00,0.644921,hit
42,right,2025-12-29 19:51:41.858940+00:00,0.669779,hit
43,right,2025-12-29 19:51:46.858940+00:00,0.677749,hit
44,left,2025-12-29 19:51:48.858940+00:00,0.686243,hit
45,right,2025-12-29 19:51:55.858940+00:00,0.711885,hit
46,left,2025-12-29 19:51:59.858940+00:00,0.627724,hit
47,right,2025-12-29 19:52:03.858940+00:00,0.730819,hit
48,left,2025-12-29 19:52:08.858940+00:00,0.641118,hit
49,right,2025-12-29 19:52:13.858940+00:00,0.684592,hit
50,right,2025-12-29 19:52:17.858940+00:00,0.622678,hit
51,left,2025-12-29 19:52:24.858940+00:00,0.703959,hit
52,left,2025-12-29 19:52:26.858940+00:00,0.732315,hit
53,left,2025-12-29 19:52:31.858940+00:00,0.75433,hit
54,right,2025-12-29 19:52:38.858940+00:00,0.717322,hit
55,left,2025-12-29 19:52:42.858940+00:00,0.660641,hit
