trial,side,volume,scheduled_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,response_ts_sec,resp_phase_deg,resp_phase_label
1,right,0.15,2025-11-30 11:41:05.011329,2025-11-30 11:41:05.630868,0.61954,hit,1764502865.630868,232.64646258726353,exhalation
2,right,0.05,2025-11-30 11:41:09.011329,2025-11-30 11:41:09.505422,0.494093,hit,1764502869.505422,205.89004410496574,exhalation
3,left,0.1,2025-11-30 11:41:13.011329,2025-11-30 11:41:13.521630,0.510301,hit,1764502873.52163,183.21927289490313,exhalation
4,right,0.15,2025-11-30 11:41:15.011329,2025-11-30 11:41:15.514774,0.503445,hit,1764502875.514774,352.0269546164526,inhalation
5,right,0.05,2025-11-30 11:41:22.011329,2025-11-30 11:41:22.477177,0.465848,hit,1764502882.4771771,166.62605349229932,exhalation
6,right,0.1,2025-11-30 11:41:27.011329,2025-11-30 11:41:27.528742,0.517413,hit,1764502887.5287418,166.91673209397788,exhalation
7,left,0.15,2025-11-30 11:41:31.011329,2025-11-30 11:41:31.436437,0.425108,hit,1764502891.436437,147.23987533473553,exhalation
8,right,0.05,2025-11-30 11:41:38.011329,2025-11-30 11:41:38.627026,0.615697,hit,1764502898.6270258,42.57851821270185,inhalation
9,right,0.1,2025-11-30 11:41:45.011329,2025-11-30 11:41:45.550086,0.538758,hit,1764502905.5500858,22.938747491306685,inhalation
10,left,0.1,2025-11-30 11:41:50.011329,2025-11-30 11:41:50.451969,0.44064,hit,1764502910.451969,198.94496165008172,exhalation
11,left,0.1,2025-11-30 11:41:54.011329,2025-11-30 11:41:54.491889,0.480561,hit,1764502914.491889,38.67840187432182,inhalation
12,left,0.15,2025-11-30 11:41:58.011329,2025-11-30 11:41:58.433470,0.422142,hit,1764502918.43347,215.86670290715506,exhalation
13,left,0.15,2025-11-30 11:42:05.011329,2025-11-30 11:42:05.506657,0.495328,hit,1764502925.5066571,216.64019040653864,exhalation
14,right,0.15,2025-11-30 11:42:10.011329,2025-11-30 11:42:10.561870,0.550541,hit,1764502930.56187,262.6890252717455,exhalation
15,left,0.1,2025-11-30 11:42:17.011329,2025-11-30 11:42:17.433449,0.42212,hit,1764502937.433449,246.0654456602569,exhalation
16,left,0.05,2025-11-30 11:42:22.011329,2025-11-30 11:42:22.438696,0.427367,hit,1764502942.438696,324.2670307594077,inhalation
17,left,0.1,2025-11-30 11:42:24.011329,2025-11-30 11:42:24.564115,0.552786,hit,1764502944.564115,115.96159139383272,exhalation
18,right,0.15,2025-11-30 11:42:29.011329,2025-11-30 11:42:29.556986,0.545657,hit,1764502949.556986,99.39027027036235,exhalation
19,left,0.1,2025-11-30 11:42:33.011329,2025-11-30 11:42:33.509493,0.498164,hit,1764502953.5094929,224.35673364253879,exhalation
20,right,0.1,2025-11-30 11:42:38.011329,2025-11-30 11:42:38.463262,0.451934,hit,1764502958.4632618,194.2173262843479,exhalation
21,right,0.1,2025-11-30 11:42:40.011329,2025-11-30 11:42:40.441934,0.430605,hit,1764502960.441934,280.951375457986,inhalation
22,right,0.15,2025-11-30 11:42:42.011329,2025-11-30 11:42:42.413430,0.402101,hit,1764502962.41343,179.02666586784545,exhalation
23,left,0.15,2025-11-30 11:42:44.011329,2025-11-30 11:42:44.626452,0.615124,hit,1764502964.626452,61.007817101660066,inhalation
24,right,0.05,2025-11-30 11:42:51.011329,2025-11-30 11:42:51.434902,0.423574,hit,1764502971.434902,199.77388836063204,exhalation
25,left,0.15,2025-11-30 11:42:56.011329,2025-11-30 11:42:56.589827,0.578498,hit,1764502976.589827,157.31646333024275,exhalation
26,left,0.1,2025-11-30 11:43:00.011329,2025-11-30 11:43:00.459786,0.448457,hit,1764502980.459786,336.4794818259771,inhalation
27,right,0.15,2025-11-30 11:43:02.011329,2025-11-30 11:43:02.528395,0.517066,hit,1764502982.528395,117.06941278225136,exhalation
28,right,0.15,2025-11-30 11:43:04.011329,2025-11-30 11:43:04.467628,0.456299,hit,1764502984.467628,181.352628587374,exhalation
29,left,0.05,2025-11-30 11:43:08.011329,2025-11-30 11:43:08.518165,0.506836,hit,1764502988.5181649,3.9052057451005453,inhalation
30,right,0.05,2025-11-30 11:43:15.011329,2025-11-30 11:43:15.519354,0.508025,hit,1764502995.519354,272.4873459847368,inhalation
31,left,0.05,2025-11-30 11:43:22.011329,2025-11-30 11:43:22.454716,0.443387,hit,1764503002.454716,162.22267299034138,exhalation
32,right,0.05,2025-11-30 11:43:29.011329,2025-11-30 11:43:29.460341,0.449012,hit,1764503009.460341,275.22094105851176,inhalation
33,right,0.05,2025-11-30 11:43:31.011329,2025-11-30 11:43:31.643474,0.632145,hit,1764503011.6434739,110.60572403805024,exhalation
34,right,0.15,2025-11-30 11:43:36.011329,2025-11-30 11:43:36.561552,0.550223,hit,1764503016.5615518,100.10058217431569,exhalation
35,right,0.05,2025-11-30 11:43:38.011329,2025-11-30 11:43:38.546963,0.535634,hit,1764503018.546963,161.6950065783399,exhalation
36,right,0.15,2025-11-30 11:43:42.011329,2025-11-30 11:43:42.499907,0.488578,hit,1764503022.499907,345.1276411899087,inhalation
37,left,0.1,2025-11-30 11:43:47.011329,2025-11-30 11:43:47.470496,0.459168,hit,1764503027.470496,250.8622353556478,exhalation
38,left,0.1,2025-11-30 11:43:51.011329,2025-11-30 11:43:51.522294,0.510965,hit,1764503031.522294,126.36613929058176,exhalation
39,right,0.15,2025-11-30 11:43:58.011329,2025-11-30 11:43:58.594103,0.582774,hit,1764503038.594103,92.69168174222067,exhalation
40,right,0.05,2025-11-30 11:44:05.011329,2025-11-30 11:44:05.738065,0.726737,hit,1764503045.738065,135.0544774240181,exhalation
41,left,0.15,2025-11-30 11:44:09.011329,2025-11-30 11:44:09.765944,0.754615,hit,1764503049.765944,236.82154141839615,exhalation
42,left,0.05,2025-11-30 11:44:14.011329,2025-11-30 11:44:14.654079,0.64275,hit,1764503054.654079,183.97381752854818,exhalation
43,left,0.1,2025-11-30 11:44:19.011329,2025-11-30 11:44:19.580725,0.569397,hit,1764503059.580725,232.23183406574017,exhalation
44,left,0.15,2025-11-30 11:44:26.011329,2025-11-30 11:44:26.575305,0.563977,hit,1764503066.575305,173.68966368087894,exhalation
45,left,0.1,2025-11-30 11:44:28.011329,2025-11-30 11:44:28.675146,0.663818,hit,1764503068.675146,279.3215848849081,inhalation
46,right,0.1,2025-11-30 11:44:33.011329,2025-11-30 11:44:33.643529,0.632201,hit,1764503073.643529,265.9257215988571,exhalation
47,left,0.1,2025-11-30 11:44:35.011329,2025-11-30 11:44:35.689501,0.678172,hit,1764503075.689501,114.75477980577924,exhalation
48,left,0.05,2025-11-30 11:44:40.011329,2025-11-30 11:44:40.562959,0.55163,hit,1764503080.5629592,20.664126913876032,inhalation
49,right,0.1,2025-11-30 11:44:42.011329,2025-11-30 11:44:42.577032,0.565703,hit,1764503082.5770319,137.04214446322737,exhalation
50,right,0.1,2025-11-30 11:44:49.011329,2025-11-30 11:44:49.612709,0.60138,hit,1764503089.612709,47.003758753902616,inhalation
51,right,0.05,2025-11-30 11:44:56.011329,2025-11-30 11:44:56.638655,0.627326,hit,1764503096.638655,346.57991458345134,inhalation
52,right,0.05,2025-11-30 11:45:00.011329,2025-11-30 11:45:00.614948,0.603619,hit,1764503100.614948,258.3845924320636,exhalation
53,left,0.15,2025-11-30 11:45:04.011329,2025-11-30 11:45:04.563581,0.552252,hit,1764503104.563581,174.65262422064677,exhalation
54,left,0.05,2025-11-30 11:45:09.011329,2025-11-30 11:45:09.689994,0.678665,hit,1764503109.689994,199.74586791725417,exhalation
55,right,0.05,2025-11-30 11:45:11.011329,2025-11-30 11:45:11.689679,0.67835,hit,1764503111.6896791,8.110706925253396,inhalation
56,right,0.15,2025-11-30 11:45:16.011329,2025-11-30 11:45:16.915458,0.904129,hit,1764503116.915458,213.02932967423317,exhalation
57,right,0.1,2025-11-30 11:45:18.011329,2025-11-30 11:45:18.856806,0.845477,hit,1764503118.8568058,282.4647828558391,inhalation
58,right,0.05,2025-11-30 11:45:23.011329,2025-11-30 11:45:23.702594,0.691266,hit,1764503123.702594,12.286578021204377,inhalation
59,right,0.05,2025-11-30 11:45:27.011329,2025-11-30 11:45:27.523567,0.512239,hit,1764503127.5235672,98.30005534450123,exhalation
60,right,0.05,2025-11-30 11:45:32.011329,2025-11-30 11:45:32.565587,0.554258,hit,1764503132.565587,331.66256391007914,inhalation
61,right,0.1,2025-11-30 11:45:34.011329,2025-11-30 11:45:34.620915,0.609586,hit,1764503134.620915,125.29742686716712,exhalation
62,left,0.15,2025-11-30 11:45:39.011329,2025-11-30 11:45:39.589884,0.578556,hit,1764503139.5898838,151.0719117121983,exhalation
63,left,0.1,2025-11-30 11:45:41.011329,2025-11-30 11:45:41.593970,0.582641,hit,1764503141.5939698,209.8158429915681,exhalation
64,right,0.1,2025-11-30 11:45:46.011329,2025-11-30 11:45:46.577610,0.566281,hit,1764503146.57761,200.8189955319015,exhalation
65,left,0.15,2025-11-30 11:45:51.011329,2025-11-30 11:45:51.666488,0.65516,hit,1764503151.6664882,183.5048523224101,exhalation
66,left,0.15,2025-11-30 11:45:58.011329,2025-11-30 11:45:58.668674,0.657345,hit,1764503158.668674,185.9756336308044,exhalation
67,right,0.05,2025-11-30 11:46:03.011329,2025-11-30 11:46:03.600425,0.589096,hit,1764503163.600425,174.38762887721515,exhalation
68,right,0.1,2025-11-30 11:46:05.011329,2025-11-30 11:46:05.598006,0.586677,hit,1764503165.598006,324.0494192145769,inhalation
69,right,0.1,2025-11-30 11:46:12.011329,2025-11-30 11:46:12.539858,0.52853,hit,1764503172.5398579,349.0618604623263,inhalation
70,left,0.1,2025-11-30 11:46:14.011329,2025-11-30 11:46:14.627558,0.616229,hit,1764503174.627558,97.54802436637095,exhalation
71,left,0.15,2025-11-30 11:46:16.011329,2025-11-30 11:46:16.674555,0.663226,hit,1764503176.6745548,148.892239272986,exhalation
72,right,0.15,2025-11-30 11:46:21.011329,2025-11-30 11:46:21.557759,0.54643,hit,1764503181.557759,277.7512139793712,inhalation
73,left,0.15,2025-11-30 11:46:28.011329,2025-11-30 11:46:28.602685,0.591356,hit,1764503188.602685,104.29687827716334,exhalation
74,right,0.15,2025-11-30 11:46:30.011329,2025-11-30 11:46:30.638156,0.626828,hit,1764503190.638156,196.20317102657185,exhalation
75,left,0.15,2025-11-30 11:46:32.011329,2025-11-30 11:46:32.603222,0.591893,hit,1764503192.6032221,309.1809891675947,inhalation
76,left,0.05,2025-11-30 11:46:34.011329,2025-11-30 11:46:34.582799,0.57147,hit,1764503194.5827992,121.57498496438934,exhalation
77,left,0.15,2025-11-30 11:46:41.011329,2025-11-30 11:46:41.667017,0.655689,hit,1764503201.667017,181.96552829887946,exhalation
78,right,0.15,2025-11-30 11:46:48.011329,2025-11-30 11:46:48.661121,0.649793,hit,1764503208.6611211,203.26011170149275,exhalation
79,right,0.15,2025-11-30 11:46:53.011329,2025-11-30 11:46:53.736362,0.725034,hit,1764503213.736362,202.03083307000605,exhalation
80,left,0.05,2025-11-30 11:46:57.011329,2025-11-30 11:46:57.593387,0.582058,hit,1764503217.5933871,142.0730930589978,exhalation
81,left,0.15,2025-11-30 11:47:04.011329,2025-11-30 11:47:04.676935,0.665606,hit,1764503224.676935,173.51841743771251,exhalation
82,left,0.05,2025-11-30 11:47:08.011329,2025-11-30 11:47:08.580951,0.569623,hit,1764503228.580951,18.103978698778576,inhalation
83,right,0.1,2025-11-30 11:47:15.011329,2025-11-30 11:47:15.596619,0.585291,hit,1764503235.596619,128.13126827448775,exhalation
84,left,0.1,2025-11-30 11:47:20.011329,2025-11-30 11:47:20.647478,0.63615,hit,1764503240.647478,8.332396866292981,inhalation
85,right,0.15,2025-11-30 11:47:24.011329,2025-11-30 11:47:24.584165,0.572837,hit,1764503244.584165,181.71805192157592,exhalation
86,left,0.05,2025-11-30 11:47:31.011329,2025-11-30 11:47:31.600861,0.589533,hit,1764503251.6008608,153.76145374829036,exhalation
87,left,0.05,2025-11-30 11:47:36.011329,2025-11-30 11:47:36.696767,0.685438,hit,1764503256.696767,8.64237072276859,inhalation
88,right,0.1,2025-11-30 11:47:38.011329,2025-11-30 11:47:38.835441,0.824112,hit,1764503258.8354409,204.10706845298142,exhalation
89,right,0.15,2025-11-30 11:47:45.011329,2025-11-30 11:47:45.674364,0.663035,hit,1764503265.6743639,31.819494222783987,inhalation
90,right,0.1,2025-11-30 11:47:47.011329,2025-11-30 11:47:47.659646,0.648317,hit,1764503267.659646,276.19278528587665,inhalation
91,left,0.05,2025-11-30 11:47:49.011329,2025-11-30 11:47:49.635367,0.624038,hit,1764503269.635367,19.50104650770254,inhalation
92,right,0.15,2025-11-30 11:47:54.011329,2025-11-30 11:47:54.557214,0.545886,hit,1764503274.557214,43.617808938926714,inhalation
93,left,0.05,2025-11-30 11:48:01.011329,2025-11-30 11:48:01.614760,0.603431,hit,1764503281.61476,125.28366698522878,exhalation
94,right,0.05,2025-11-30 11:48:05.011329,2025-11-30 11:48:05.617230,0.605901,hit,1764503285.6172302,14.321533310223458,inhalation
95,right,0.15,2025-11-30 11:48:07.011329,2025-11-30 11:48:07.597975,0.586646,hit,1764503287.597975,192.7529317218941,exhalation
96,right,0.15,2025-11-30 11:48:09.011329,2025-11-30 11:48:09.501258,0.489929,hit,1764503289.501258,21.376818104642325,inhalation
97,left,0.05,2025-11-30 11:48:14.011329,2025-11-30 11:48:14.604419,0.59309,hit,1764503294.604419,359.35533406646397,inhalation
98,left,0.15,2025-11-30 11:48:18.011329,2025-11-30 11:48:18.531907,0.520579,hit,1764503298.531907,163.46325893025505,exhalation
99,left,0.1,2025-11-30 11:48:20.011329,2025-11-30 11:48:20.528665,0.517336,hit,1764503300.528665,218.08392037011603,exhalation
100,left,0.05,2025-11-30 11:48:25.011329,2025-11-30 11:48:25.624352,0.613023,hit,1764503305.624352,138.49792859593106,exhalation
101,left,0.1,2025-11-30 11:48:32.011329,2025-11-30 11:48:32.600928,0.589599,hit,1764503312.600928,191.43748409217707,exhalation
102,left,0.1,2025-11-30 11:48:34.011329,2025-11-30 11:48:34.622006,0.610678,hit,1764503314.622006,321.9411145886992,inhalation
103,right,0.15,2025-11-30 11:48:41.011329,2025-11-30 11:48:41.649141,0.637812,hit,1764503321.649141,110.09077937828354,exhalation
104,right,0.1,2025-11-30 11:48:48.011329,2025-11-30 11:48:48.610454,0.599125,hit,1764503328.610454,164.0060347935309,exhalation
105,right,0.1,2025-11-30 11:48:55.011329,2025-11-30 11:48:55.753413,0.742084,hit,1764503335.7534132,245.15586464798974,exhalation
106,right,0.1,2025-11-30 11:49:02.011329,2025-11-30 11:49:02.542088,0.530759,hit,1764503342.542088,15.642539937909532,inhalation
