trial,side,volume,scheduled_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,response_ts_sec,resp_phase,resp_phase_label
1,right,0.15,2025-11-30 17:45:27.129117,2025-11-30 17:45:27.734811,0.605693,hit,1764524727.7348108,-1.0,exhalation
2,right,0.05,2025-11-30 17:45:31.129117,2025-11-30 17:45:31.671988,0.542871,hit,1764524731.671988,-1.0,exhalation
3,left,0.1,2025-11-30 17:45:35.129117,2025-11-30 17:45:35.589734,0.460616,hit,1764524735.5897338,-1.0,exhalation
4,right,0.15,2025-11-30 17:45:37.129117,2025-11-30 17:45:37.650135,0.521017,hit,1764524737.650135,1.0,inhalation
5,right,0.05,2025-11-30 17:45:44.129117,2025-11-30 17:45:44.596864,0.467747,hit,1764524744.596864,1.0,inhalation
6,right,0.1,2025-11-30 17:45:49.129117,2025-11-30 17:45:49.610091,0.480973,hit,1764524749.610091,1.0,inhalation
7,left,0.15,2025-11-30 17:45:53.129117,2025-11-30 17:45:53.610501,0.481383,hit,1764524753.610501,1.0,inhalation
8,right,0.05,2025-11-30 17:46:00.129117,2025-11-30 17:46:00.659558,0.530441,hit,1764524760.6595578,1.0,inhalation
9,right,0.1,2025-11-30 17:46:07.129117,2025-11-30 17:46:07.758811,0.629694,hit,1764524767.758811,-1.0,exhalation
10,left,0.1,2025-11-30 17:46:12.129117,2025-11-30 17:46:12.676353,0.547236,hit,1764524772.676353,1.0,inhalation
11,left,0.1,2025-11-30 17:46:16.129117,2025-11-30 17:46:16.731857,0.602739,hit,1764524776.7318568,-1.0,exhalation
12,left,0.15,2025-11-30 17:46:20.129117,2025-11-30 17:46:20.729793,0.600676,hit,1764524780.729793,1.0,inhalation
13,left,0.15,2025-11-30 17:46:27.129117,2025-11-30 17:46:27.629761,0.500644,hit,1764524787.629761,1.0,inhalation
14,right,0.15,2025-11-30 17:46:32.129117,2025-11-30 17:46:32.552263,0.423145,hit,1764524792.552263,1.0,inhalation
15,left,0.1,2025-11-30 17:46:39.129117,2025-11-30 17:46:39.545370,0.416252,hit,1764524799.54537,1.0,inhalation
16,left,0.05,2025-11-30 17:46:44.129117,2025-11-30 17:46:44.619786,0.490668,hit,1764524804.619786,1.0,inhalation
17,left,0.1,2025-11-30 17:46:46.129117,2025-11-30 17:46:46.744641,0.615523,hit,1764524806.744641,-1.0,exhalation
18,right,0.15,2025-11-30 17:46:51.129117,2025-11-30 17:46:51.608731,0.479613,hit,1764524811.6087308,1.0,inhalation
19,left,0.1,2025-11-30 17:46:55.129117,2025-11-30 17:46:55.659631,0.530514,hit,1764524815.659631,1.0,inhalation
