trial,side,volume,scheduled_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,response_ts_sec,resp_phase_deg,resp_phase_label,participant_id
1,right,0.15,2025-11-30 11:41:05.011329,2025-11-30 11:41:05.630868,0.61954,hit,1764502865.630868,232.6464625872636,exhalation,P001
2,right,0.05,2025-11-30 11:41:09.011329,2025-11-30 11:41:09.505422,0.494093,hit,1764502869.505422,205.8900441049657,exhalation,P001
3,left,0.1,2025-11-30 11:41:13.011329,2025-11-30 11:41:13.521630,0.510301,hit,1764502873.52163,183.2192728949032,exhalation,P001
4,right,0.15,2025-11-30 11:41:15.011329,2025-11-30 11:41:15.514774,0.503445,hit,1764502875.514774,352.0269546164526,inhalation,P001
5,right,0.05,2025-11-30 11:41:22.011329,2025-11-30 11:41:22.477177,0.465848,hit,1764502882.4771771,166.62605349229932,exhalation,P001
6,right,0.1,2025-11-30 11:41:27.011329,2025-11-30 11:41:27.528742,0.517413,hit,1764502887.5287418,166.91673209397788,exhalation,P001
7,left,0.15,2025-11-30 11:41:31.011329,2025-11-30 11:41:31.436437,0.425108,hit,1764502891.436437,147.23987533473553,exhalation,P001
8,right,0.05,2025-11-30 11:41:38.011329,2025-11-30 11:41:38.627026,0.615697,hit,1764502898.6270258,42.57851821270185,inhalation,P001
9,right,0.1,2025-11-30 11:41:45.011329,2025-11-30 11:41:45.550086,0.538758,hit,1764502905.5500858,22.938747491306685,inhalation,P001
10,left,0.1,2025-11-30 11:41:50.011329,2025-11-30 11:41:50.451969,0.44064,hit,1764502910.451969,198.94496165008167,exhalation,P001
11,left,0.1,2025-11-30 11:41:54.011329,2025-11-30 11:41:54.491889,0.480561,hit,1764502914.491889,38.67840187432182,inhalation,P001
12,left,0.15,2025-11-30 11:41:58.011329,2025-11-30 11:41:58.433470,0.422142,hit,1764502918.43347,215.86670290715503,exhalation,P001
13,left,0.15,2025-11-30 11:42:05.011329,2025-11-30 11:42:05.506657,0.495328,hit,1764502925.5066571,216.64019040653864,exhalation,P001
14,right,0.15,2025-11-30 11:42:10.011329,2025-11-30 11:42:10.561870,0.550541,hit,1764502930.56187,262.6890252717455,exhalation,P001
15,left,0.1,2025-11-30 11:42:17.011329,2025-11-30 11:42:17.433449,0.42212,hit,1764502937.433449,246.0654456602569,exhalation,P001
16,left,0.05,2025-11-30 11:42:22.011329,2025-11-30 11:42:22.438696,0.427367,hit,1764502942.438696,324.2670307594077,inhalation,P001
17,left,0.1,2025-11-30 11:42:24.011329,2025-11-30 11:42:24.564115,0.552786,hit,1764502944.564115,115.96159139383272,exhalation,P001
18,right,0.15,2025-11-30 11:42:29.011329,2025-11-30 11:42:29.556986,0.545657,hit,1764502949.556986,99.39027027036236,exhalation,P001
19,left,0.1,2025-11-30 11:42:33.011329,2025-11-30 11:42:33.509493,0.498164,hit,1764502953.5094929,224.3567336425388,exhalation,P001
20,right,0.1,2025-11-30 11:42:38.011329,2025-11-30 11:42:38.463262,0.451934,hit,1764502958.4632618,194.2173262843479,exhalation,P001
21,right,0.1,2025-11-30 11:42:40.011329,2025-11-30 11:42:40.441934,0.430605,hit,1764502960.441934,280.951375457986,inhalation,P001
