trial,side,volume,scheduled_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status
1,right,0.150,2025-12-01 09:18:05.737408,2025-12-01 09:18:06.437691,0.700283,hit
2,right,0.050,2025-12-01 09:18:09.737408,2025-12-01 09:18:10.159384,0.421976,hit
3,left,0.100,2025-12-01 09:18:13.737408,2025-12-01 09:18:14.200853,0.463445,hit
4,right,0.150,2025-12-01 09:18:15.737408,2025-12-01 09:18:16.195755,0.458347,hit
5,right,0.050,2025-12-01 09:18:22.737408,2025-12-01 09:18:23.269731,0.532323,hit
6,right,0.100,2025-12-01 09:18:27.737408,2025-12-01 09:18:28.172680,0.435272,hit
7,left,0.150,2025-12-01 09:18:31.737408,2025-12-01 09:18:32.183909,0.446501,hit
8,right,0.050,2025-12-01 09:18:38.737408,2025-12-01 09:18:39.218387,0.480980,hit
9,right,0.100,2025-12-01 09:18:45.737408,2025-12-01 09:18:46.169196,0.431788,hit
10,left,0.100,2025-12-01 09:18:50.737408,2025-12-01 09:18:51.175603,0.438196,hit
11,left,0.100,2025-12-01 09:18:54.737408,2025-12-01 09:18:55.153399,0.415991,hit
12,left,0.150,2025-12-01 09:18:58.737408,2025-12-01 09:18:59.149655,0.412247,hit
13,left,0.150,2025-12-01 09:19:05.737408,2025-12-01 09:19:06.198442,0.461034,hit
14,right,0.150,2025-12-01 09:19:10.737408,2025-12-01 09:19:11.177016,0.439609,hit
15,left,0.100,2025-12-01 09:19:17.737408,2025-12-01 09:19:18.164560,0.427153,hit
16,left,0.050,2025-12-01 09:19:22.737408,2025-12-01 09:19:23.208505,0.471097,hit
17,left,0.100,2025-12-01 09:19:24.737408,2025-12-01 09:19:25.183125,0.445718,hit
18,right,0.150,2025-12-01 09:19:29.737408,2025-12-01 09:19:30.219695,0.482287,hit
19,left,0.100,2025-12-01 09:19:33.737408,2025-12-01 09:19:34.150728,0.413320,hit
20,right,0.100,2025-12-01 09:19:38.737408,2025-12-01 09:19:39.195574,0.458166,hit
21,right,0.100,2025-12-01 09:19:40.737408,2025-12-01 09:19:41.190554,0.453147,hit
22,right,0.150,2025-12-01 09:19:42.737408,2025-12-01 09:19:43.226121,0.488714,hit
23,left,0.150,2025-12-01 09:19:44.737408,2025-12-01 09:19:45.155355,0.417948,hit
24,right,0.050,2025-12-01 09:19:51.737408,2025-12-01 09:19:52.193040,0.455632,hit
25,left,0.150,2025-12-01 09:19:56.737408,2025-12-01 09:19:57.188405,0.450997,hit
26,left,0.100,2025-12-01 09:20:00.737408,2025-12-01 09:20:01.157920,0.420512,hit
27,right,0.150,2025-12-01 09:20:02.737408,2025-12-01 09:20:03.168283,0.430875,hit
28,right,0.150,2025-12-01 09:20:04.737408,2025-12-01 09:20:05.195796,0.458388,hit
29,left,0.050,2025-12-01 09:20:08.737408,2025-12-01 09:20:09.154729,0.417321,hit
30,right,0.050,2025-12-01 09:20:15.737408,2025-12-01 09:20:16.210231,0.472823,hit
31,left,0.050,2025-12-01 09:20:22.737408,2025-12-01 09:20:23.177030,0.439622,hit
32,right,0.050,2025-12-01 09:20:29.737408,2025-12-01 09:20:30.230142,0.492735,hit
33,right,0.050,2025-12-01 09:20:31.737408,2025-12-01 09:20:32.183042,0.445634,hit
34,right,0.150,2025-12-01 09:20:36.737408,2025-12-01 09:20:37.180741,0.443333,hit
35,right,0.050,2025-12-01 09:20:38.737408,2025-12-01 09:20:39.179587,0.442180,hit
36,right,0.150,2025-12-01 09:20:42.737408,2025-12-01 09:20:43.166612,0.429204,hit
37,left,0.100,2025-12-01 09:20:47.737408,2025-12-01 09:20:48.173002,0.435594,hit
38,left,0.100,2025-12-01 09:20:51.737408,2025-12-01 09:20:52.186140,0.448732,hit
39,right,0.150,2025-12-01 09:20:58.737408,2025-12-01 09:20:59.365074,0.627667,hit
40,right,0.050,2025-12-01 09:21:05.737408,2025-12-01 09:21:06.305121,0.567713,hit
41,left,0.150,2025-12-01 09:21:09.737408,2025-12-01 09:21:10.280165,0.542758,hit
42,left,0.050,2025-12-01 09:21:14.737408,2025-12-01 09:21:15.391620,0.654212,hit
43,left,0.100,2025-12-01 09:21:19.737408,2025-12-01 09:21:20.301891,0.564484,hit
44,left,0.150,2025-12-01 09:21:26.737408,2025-12-01 09:21:27.337920,0.600513,hit
45,left,0.100,2025-12-01 09:21:28.737408,2025-12-01 09:21:29.288690,0.551282,hit
46,right,0.100,2025-12-01 09:21:33.737408,2025-12-01 09:21:34.318444,0.581036,hit
